Angle (2Î¸),Intensity,HKL
35.30258667,25.10313991,"(1, 0, -1, 0)"
38.80858574,25.23394934,"(0, 0, 0, 2)"
40.45440748,100,"(1, 0, -1, 1)"
53.46201659,13.60167117,"(1, 0, -1, 2)"
63.36312243,15.45117383,"(2, -1, -1, 0)"
71.37271359,15.71789572,"(1, 0, -1, 3)"
74.66596304,2.274697178,"(2, 0, -2, 0)"
76.84544652,16.67771033,"(2, -1, -1, 2)"
77.92118469,12.00383849,"(2, 0, -2, 1)"
83.28237531,2.215063869,"(0, 0, 0, 4)"
87.49594658,2.939306973,"(2, 0, -2, 2)"
93.83665662,2.545565326,"(1, 0, -1, 4)"
103.4298612,6.740071261,"(2, 0, -2, 3)"
106.691564,2.206017557,"(3, -1, -2, 0)"
110.0236795,13.14475509,"(3, -1, -2, 1)"
115.7655224,8.885561676,"(2, -1, -1, 4)"
120.529068,4.597041132,"(3, -1, -2, 2)"
124.3060395,7.179664546,"(1, 0, -1, 5)"
128.2123488,2.524367726,"(2, 0, -2, 4)"
130.9193836,5.273869039,"(3, 0, -3, 0)"
141.6209343,19.8269235,"(3, -1, -2, 3)"
